shot_made_flag,log_init_prob,log_02_prob,lda_init_prob
0,0.42580568599858803,0.3979930341594838,0.422573792649695
1,0.598299287215841,0.5716214560969133,0.599065047667976
0,0.42119769407138546,0.4057238222051107,0.4183438032619508
1,0.5978483135199266,0.5779392091733728,0.5985575855948999
1,0.4630171945640083,0.44532933416997167,0.4644418014494618
0,0.3233888112138069,0.3097424686151044,0.32579405069273365
1,0.46190563063338225,0.44696218726707454,0.4600289614775306
1,0.5066768906776925,0.49549502492043457,0.5068058998671595
0,0.5105232562873313,0.4999164809175463,0.5094181809662439
0,0.4109255054901429,0.3983952715706927,0.41231623527406674
1,0.3683581879131543,0.36566619866340516,0.3680507426539581
0,0.45089300365159163,0.4544031583578633,0.4491923504809254
0,0.48482061446362745,0.48519450762263916,0.4849049681718527
0,0.4319849097244195,0.4299370310041004,0.4305323772168303
1,0.5092871677123124,0.5099103495299924,0.5096749475467712
1,0.42297477303923314,0.42636809576687246,0.4233645478970586
0,0.3996770830943457,0.40225877774522684,0.4014472239158533
0,0.32256380804886975,0.3279611697107322,0.3231333042524579
1,0.4444139984666631,0.4592908341576469,0.4421524074385814
0,0.43614367044370905,0.45095749412429526,0.43462733671605625
1,0.37685435747613005,0.3584194486088332,0.3777663750170842
1,0.3043190921185268,0.29062252184989296,0.30656777584113065
0,0.38420768896704854,0.37729771796237954,0.38197299206584345
1,0.3749984656219764,0.36166941298250993,0.37381304937547494
0,0.5319761924022844,0.5185394453899673,0.5315331406025591
1,0.5771617772550464,0.5648807490898745,0.5788231486892502
1,0.38129641983117424,0.38432010049213383,0.38084793316721255
0,0.5432454870362511,0.5480253398894142,0.5447918630956767
0,0.38753163119657624,0.37368429177512746,0.3882497735303043
1,0.43819089984302456,0.4256493805855315,0.43802231569836
1,0.6538206256486631,0.6404114461699882,0.6534407509455076
1,0.643028909878426,0.6296437213475509,0.643520516749238
1,0.585793026584331,0.5718255169604297,0.5870370161612628
0,0.5736747741541861,0.5658257589410638,0.574580662980463
1,0.4877163918936776,0.478993264976786,0.48698777671625604
1,0.6463032655174117,0.636004804543462,0.6459816686230153
1,0.3812244004552012,0.37297276596010365,0.38263415697558356
1,0.6408927489015258,0.6361221347355964,0.6403892512660917
0,0.5563086860693878,0.5509828311359692,0.5565673433246675
1,0.4081543216555544,0.41441830915866806,0.4074867479470271
0,0.5895017456559548,0.5913739840958621,0.5894686317477758
0,0.49458397103497154,0.4995969238200026,0.49460513968608444
0,0.4469786252443476,0.4674072079763419,0.448440016787828
0,0.3059891781016169,0.2955544033252092,0.3048280495844064
0,0.5477135188365831,0.5362763732403114,0.5470827912034352
1,0.34028797404083494,0.3322325997003136,0.34102661358027014
1,0.3700262567072186,0.3609253624905993,0.3717137479587175
1,0.337159956984513,0.33150256946305195,0.33538494897589455
0,0.3981500669210318,0.3915832764386617,0.39589627068804384
0,0.3738050185285753,0.36717719538052773,0.37163209472241143
1,0.27720001209234385,0.27584659775658105,0.2783091449424568
0,0.2624426865860014,0.26353952373819817,0.26222596715509167
1,0.3481279464586817,0.34188076728569167,0.34568680231478943
0,0.4880562684625116,0.4889418218570283,0.4866350729792485
0,0.37629189485926845,0.3784863091432677,0.37649939827809
1,0.5260911033061362,0.5276424272948165,0.5262596115777146
1,0.3456613467845874,0.34616226310438275,0.34527936478677157
0,0.37303040370674745,0.3733072654644086,0.3715421909302616
0,0.28890803684289446,0.2955559923417303,0.28763132555656545
0,0.31164826944275187,0.3179032754042513,0.3110897246488828
0,0.34323227911213833,0.36286355465529563,0.34348261646135775
1,0.31618788471911763,0.337164637365179,0.3136037859778758
0,0.40528596808484607,0.42546384362060385,0.4054645471355373
0,0.42479316971507786,0.44463599055824016,0.42558445816192586
0,0.41648367006407955,0.40262801540497867,0.4157750131484257
0,0.635970697029888,0.6188061703946715,0.635304963097124
0,0.6338158375962245,0.6166517787252119,0.6333226588276787
0,0.633735924451749,0.6165718978200847,0.6332491529523966
1,0.6184638460462759,0.6013252719604757,0.6192112157573544
1,0.6128425280788976,0.5957228326533378,0.6140484604105012
0,0.4448793719429567,0.42691532786856923,0.4459303157480437
1,0.4355291182167118,0.4270886691617566,0.43501108953890577
1,0.6255862970204873,0.614052447858053,0.6251270625206096
1,0.6065330178900319,0.5951530462771,0.607616256470962
1,0.3328552872346896,0.3246134368136701,0.33475096593348797
1,0.42594890030672455,0.4258463146684069,0.4235273779167771
0,0.39353897674612404,0.39419510708074906,0.39046934948997636
0,0.5154143396457239,0.5109435844888456,0.5165430944613865
1,0.492181396456837,0.48932930718737133,0.49345068997140523
0,0.3934414408974893,0.3939971880189278,0.39126692130865004
0,0.4134870681503983,0.4129715914029644,0.41480608055695356
0,0.47731871273226867,0.49209340400520324,0.4768499672011686
1,0.5908068002187632,0.6023778879892315,0.591262298648593
1,0.5368115648649354,0.5490909429853619,0.5380271003735317
0,0.5847588195033255,0.5964957012923526,0.5857051899624617
1,0.6176182642488788,0.583256642424249,0.6187649809381658
1,0.47024424841197765,0.4331405461352907,0.4681713088222128
1,0.46911890981287835,0.43712263085432557,0.47046595168799155
0,0.43012995984717656,0.3989154249398103,0.4267861979787459
0,0.3528525465991526,0.3259518114246653,0.3523397844907821
1,0.41816707840094214,0.388884833543479,0.417585789750334
0,0.6053488867309226,0.5766715357498242,0.6068630378266884
0,0.5397908237374981,0.5176486995024985,0.5410613651789995
1,0.35358734862915314,0.34780562579931595,0.35273088790394574
1,0.6063661856175571,0.6005178451207991,0.6059028696233631
0,0.5950529453253354,0.589362475239512,0.5955024205410582
1,0.31269378171589424,0.2968847011882477,0.31229669078113836
0,0.3207272473581514,0.30952159704242405,0.31767671333383635
0,0.43659065416044934,0.41783053530482506,0.4360278982215569
0,0.5133440136340739,0.49509016277900736,0.5138075362933399
1,0.4461141625509267,0.42965077087498305,0.4475852225552647
0,0.2880080851728166,0.27216180870765705,0.2877346505567749
1,0.2976455049840825,0.2870636987118953,0.2973311747549465
1,0.3165588478893547,0.3042747469178417,0.31315088759466403
